date,state,district,pincode,demo_age_5_17,demo_age_17_
27-10-2025,Tamil Nadu,Krishnagiri,635114,0,6
27-10-2025,Tamil Nadu,Krishnagiri,635118,3,4
27-10-2025,Tamil Nadu,Krishnagiri,635119,3,4
27-10-2025,Tamil Nadu,Krishnagiri,635207,3,6
02-11-2025,Tamil Nadu,Krishnagiri,635108,2,2
26-10-2025,Tamil Nadu,Krishnagiri,635106,1,4
26-10-2025,Tamil Nadu,Krishnagiri,635107,5,15
26-10-2025,Tamil Nadu,Krishnagiri,635118,1,11
26-10-2025,Tamil Nadu,Krishnagiri,635123,1,6
26-10-2025,Tamil Nadu,Krishnagiri,635126,9,13
26-10-2025,Tamil Nadu,Krishnagiri,635201,0,4
26-10-2025,Tamil Nadu,Krishnagiri,635203,4,12
26-10-2025,Tamil Nadu,Krishnagiri,636902,2,5
20-10-2025,Tamil Nadu,Krishnagiri,635002,2,2
20-10-2025,Tamil Nadu,Krishnagiri,635101,0,1
20-10-2025,Tamil Nadu,Krishnagiri,635112,8,4
20-10-2025,Tamil Nadu,Krishnagiri,635204,1,1
21-10-2025,Tamil Nadu,Krishnagiri,635002,0,1
21-10-2025,Tamil Nadu,Krishnagiri,635107,1,3
21-10-2025,Tamil Nadu,Krishnagiri,635109,2,11
21-10-2025,Tamil Nadu,Krishnagiri,635113,0,4
21-10-2025,Tamil Nadu,Krishnagiri,635116,0,3
21-10-2025,Tamil Nadu,Krishnagiri,635117,0,1
21-10-2025,Tamil Nadu,Krishnagiri,635121,0,1
21-10-2025,Tamil Nadu,Krishnagiri,635126,2,8
21-10-2025,Tamil Nadu,Krishnagiri,635206,2,1
23-10-2025,Tamil Nadu,Krishnagiri,635002,2,1
23-10-2025,Tamil Nadu,Krishnagiri,635201,0,1
23-10-2025,Tamil Nadu,Krishnagiri,635304,0,2
24-10-2025,Tamil Nadu,Krishnagiri,635002,0,7
24-10-2025,Tamil Nadu,Krishnagiri,635115,2,15
24-10-2025,Tamil Nadu,Krishnagiri,635121,2,6
24-10-2025,Tamil Nadu,Krishnagiri,635126,5,18
24-10-2025,Tamil Nadu,Krishnagiri,635201,1,8
24-10-2025,Tamil Nadu,Krishnagiri,635204,0,5
24-10-2025,Tamil Nadu,Krishnagiri,635304,4,7
24-10-2025,Tamil Nadu,Krishnagiri,636902,2,0
28-10-2025,Tamil Nadu,Krishnagiri,635002,1,9
28-10-2025,Tamil Nadu,Krishnagiri,635108,2,6
28-10-2025,Tamil Nadu,Krishnagiri,635109,7,52
28-10-2025,Tamil Nadu,Krishnagiri,635118,2,10
28-10-2025,Tamil Nadu,Krishnagiri,635122,4,15
28-10-2025,Tamil Nadu,Krishnagiri,635201,1,1
28-10-2025,Tamil Nadu,Krishnagiri,635304,2,13
28-10-2025,Tamil Nadu,Krishnagiri,635307,8,17
29-10-2025,Tamil Nadu,Krishnagiri,636812,1,0
09-11-2025,Tamil Nadu,Krishnagiri,635116,1,3
09-11-2025,Tamil Nadu,Krishnagiri,635203,2,3
16-11-2025,Tamil Nadu,Krishnagiri,635002,2,3
16-11-2025,Tamil Nadu,Krishnagiri,635123,1,1
07-12-2025,Tamil Nadu,Krishnagiri,635123,0,2
01-03-2025,Tamil Nadu,Krishnagiri,635204,14,311
01-03-2025,Tamil Nadu,Krishnagiri,635207,54,441
01-03-2025,Tamil Nadu,Krishnagiri,635113,44,656
01-03-2025,Tamil Nadu,Krishnagiri,635201,11,138
01-03-2025,Tamil Nadu,Krishnagiri,635304,25,358
01-03-2025,Tamil Nadu,Krishnagiri,635206,39,321
01-03-2025,Tamil Nadu,Krishnagiri,635112,43,612
01-05-2025,Tamil Nadu,Krishnagiri,635109,275,1648
01-06-2025,Tamil Nadu,Krishnagiri,635109,277,1819
01-03-2025,Tamil Nadu,Krishnagiri,635307,28,446
01-09-2025,Tamil Nadu,Krishnagiri,635101,2,10
01-09-2025,Tamil Nadu,Krishnagiri,635103,1,6
01-09-2025,Tamil Nadu,Krishnagiri,635108,0,5
01-09-2025,Tamil Nadu,Krishnagiri,635115,1,15
01-09-2025,Tamil Nadu,Krishnagiri,635126,3,12
02-09-2025,Tamil Nadu,Krishnagiri,635105,0,10
02-09-2025,Tamil Nadu,Krishnagiri,635107,0,17
02-09-2025,Tamil Nadu,Krishnagiri,635112,2,30
02-09-2025,Tamil Nadu,Krishnagiri,635115,2,15
02-09-2025,Tamil Nadu,Krishnagiri,635120,2,20
02-09-2025,Tamil Nadu,Krishnagiri,635126,4,20
02-09-2025,Tamil Nadu,Krishnagiri,635201,1,6
02-09-2025,Tamil Nadu,Krishnagiri,635203,2,23
02-09-2025,Tamil Nadu,Krishnagiri,635304,1,8
03-09-2025,Tamil Nadu,Krishnagiri,635001,13,30
03-09-2025,Tamil Nadu,Krishnagiri,635102,4,9
03-09-2025,Tamil Nadu,Krishnagiri,635112,3,10
03-09-2025,Tamil Nadu,Krishnagiri,635118,0,13
03-09-2025,Tamil Nadu,Krishnagiri,635119,5,11
03-09-2025,Tamil Nadu,Krishnagiri,635307,5,28
03-09-2025,Tamil Nadu,Krishnagiri,636902,0,3
04-09-2025,Tamil Nadu,Krishnagiri,635101,1,5
04-09-2025,Tamil Nadu,Krishnagiri,635102,2,14
04-09-2025,Tamil Nadu,Krishnagiri,635110,1,12
04-09-2025,Tamil Nadu,Krishnagiri,635112,2,11
04-09-2025,Tamil Nadu,Krishnagiri,635118,0,5
04-09-2025,Tamil Nadu,Krishnagiri,635126,5,22
04-09-2025,Tamil Nadu,Krishnagiri,635203,3,16
05-09-2025,Tamil Nadu,Krishnagiri,635103,1,1
05-09-2025,Tamil Nadu,Krishnagiri,635109,1,19
05-09-2025,Tamil Nadu,Krishnagiri,635121,0,1
05-09-2025,Tamil Nadu,Krishnagiri,635122,0,1
05-09-2025,Tamil Nadu,Krishnagiri,635203,0,7
07-09-2025,Tamil Nadu,Krishnagiri,635105,0,2
07-09-2025,Tamil Nadu,Krishnagiri,635107,0,1
07-09-2025,Tamil Nadu,Krishnagiri,635108,1,0
06-09-2025,Tamil Nadu,Krishnagiri,635002,2,2
06-09-2025,Tamil Nadu,Krishnagiri,635101,2,4
06-09-2025,Tamil Nadu,Krishnagiri,635112,3,10
06-09-2025,Tamil Nadu,Krishnagiri,635113,3,19
06-09-2025,Tamil Nadu,Krishnagiri,635118,1,3
06-09-2025,Tamil Nadu,Krishnagiri,635126,2,21
06-09-2025,Tamil Nadu,Krishnagiri,635203,5,19
06-09-2025,Tamil Nadu,Krishnagiri,635204,3,7
06-09-2025,Tamil Nadu,Krishnagiri,635307,5,11
08-09-2025,Tamil Nadu,Krishnagiri,635101,1,12
08-09-2025,Tamil Nadu,Krishnagiri,635109,16,59
08-09-2025,Tamil Nadu,Krishnagiri,635124,0,1
08-09-2025,Tamil Nadu,Krishnagiri,635201,0,9
08-09-2025,Tamil Nadu,Krishnagiri,635203,3,21
08-09-2025,Tamil Nadu,Krishnagiri,635204,3,11
08-09-2025,Tamil Nadu,Krishnagiri,635206,6,14
08-09-2025,Tamil Nadu,Krishnagiri,635207,3,14
08-09-2025,Tamil Nadu,Krishnagiri,636812,0,3
09-09-2025,Tamil Nadu,Krishnagiri,635101,0,6
09-09-2025,Tamil Nadu,Krishnagiri,635102,2,21
09-09-2025,Tamil Nadu,Krishnagiri,635111,0,1
09-09-2025,Tamil Nadu,Krishnagiri,635115,2,8
09-09-2025,Tamil Nadu,Krishnagiri,635120,3,8
10-09-2025,Tamil Nadu,Krishnagiri,635111,0,1
10-09-2025,Tamil Nadu,Krishnagiri,635116,0,10
10-09-2025,Tamil Nadu,Krishnagiri,635117,5,21
10-09-2025,Tamil Nadu,Krishnagiri,635118,1,8
10-09-2025,Tamil Nadu,Krishnagiri,635307,6,34
11-09-2025,Tamil Nadu,Krishnagiri,635102,5,17
11-09-2025,Tamil Nadu,Krishnagiri,635109,15,80
11-09-2025,Tamil Nadu,Krishnagiri,635110,2,5
11-09-2025,Tamil Nadu,Krishnagiri,635116,3,13
11-09-2025,Tamil Nadu,Krishnagiri,635121,2,13
11-09-2025,Tamil Nadu,Krishnagiri,635207,3,12
11-09-2025,Tamil Nadu,Krishnagiri,635304,3,6
11-09-2025,Tamil Nadu,Krishnagiri,635307,2,18
13-09-2025,Tamil Nadu,Krishnagiri,635001,7,16
13-09-2025,Tamil Nadu,Krishnagiri,635101,0,2
13-09-2025,Tamil Nadu,Krishnagiri,635104,2,19
13-09-2025,Tamil Nadu,Krishnagiri,635114,2,0
13-09-2025,Tamil Nadu,Krishnagiri,635120,5,5
13-09-2025,Tamil Nadu,Krishnagiri,635121,3,5
13-09-2025,Tamil Nadu,Krishnagiri,635123,0,1
12-09-2025,Tamil Nadu,Krishnagiri,635103,5,10
12-09-2025,Tamil Nadu,Krishnagiri,635108,0,2
12-09-2025,Tamil Nadu,Krishnagiri,635114,1,7
12-09-2025,Tamil Nadu,Krishnagiri,635115,8,11
12-09-2025,Tamil Nadu,Krishnagiri,635123,4,8
12-09-2025,Tamil Nadu,Krishnagiri,635304,3,5
15-09-2025,Tamil Nadu,Krishnagiri,635105,3,13
15-09-2025,Tamil Nadu,Krishnagiri,635108,0,6
15-09-2025,Tamil Nadu,Krishnagiri,635122,0,11
15-09-2025,Tamil Nadu,Krishnagiri,635126,3,22
15-09-2025,Tamil Nadu,Krishnagiri,636902,1,1
14-09-2025,Tamil Nadu,Krishnagiri,635204,0,1
16-09-2025,Tamil Nadu,Krishnagiri,635002,3,4
16-09-2025,Tamil Nadu,Krishnagiri,635115,1,11
16-09-2025,Tamil Nadu,Krishnagiri,635118,0,3
16-09-2025,Tamil Nadu,Krishnagiri,635121,2,21
16-09-2025,Tamil Nadu,Krishnagiri,635124,2,7
16-09-2025,Tamil Nadu,Krishnagiri,635126,5,19
16-09-2025,Tamil Nadu,Krishnagiri,635201,1,8
16-09-2025,Tamil Nadu,Krishnagiri,635304,6,8
16-09-2025,Tamil Nadu,Krishnagiri,636902,0,3
17-09-2025,Tamil Nadu,Krishnagiri,635001,1,35
17-09-2025,Tamil Nadu,Krishnagiri,635102,0,4
17-09-2025,Tamil Nadu,Krishnagiri,635110,4,12
17-09-2025,Tamil Nadu,Krishnagiri,635119,2,4
17-09-2025,Tamil Nadu,Krishnagiri,635122,1,13
17-09-2025,Tamil Nadu,Krishnagiri,635123,1,5
18-09-2025,Tamil Nadu,Krishnagiri,635103,0,5
18-09-2025,Tamil Nadu,Krishnagiri,635109,20,70
18-09-2025,Tamil Nadu,Krishnagiri,635115,3,18
18-09-2025,Tamil Nadu,Krishnagiri,635201,1,3
18-09-2025,Tamil Nadu,Krishnagiri,635203,1,18
18-09-2025,Tamil Nadu,Krishnagiri,635206,2,8
18-09-2025,Tamil Nadu,Krishnagiri,636806,1,0
19-09-2025,Tamil Nadu,Krishnagiri,635001,4,42
19-09-2025,Tamil Nadu,Krishnagiri,635104,2,13
19-09-2025,Tamil Nadu,Krishnagiri,635110,1,12
19-09-2025,Tamil Nadu,Krishnagiri,635113,4,20
19-09-2025,Tamil Nadu,Krishnagiri,635201,2,4
19-09-2025,Tamil Nadu,Krishnagiri,635203,3,23
13-10-2025,Tamil Nadu,Krishnagiri,635002,0,2
13-10-2025,Tamil Nadu,Krishnagiri,635106,0,3
13-10-2025,Tamil Nadu,Krishnagiri,635115,0,2
13-10-2025,Tamil Nadu,Krishnagiri,635117,2,14
13-10-2025,Tamil Nadu,Krishnagiri,635118,3,7
13-10-2025,Tamil Nadu,Krishnagiri,635124,0,1
13-10-2025,Tamil Nadu,Krishnagiri,635204,0,4
20-09-2025,Tamil Nadu,Krishnagiri,635105,1,5
20-09-2025,Tamil Nadu,Krishnagiri,635113,1,19
20-09-2025,Tamil Nadu,Krishnagiri,635114,2,7
20-09-2025,Tamil Nadu,Krishnagiri,635115,2,7
20-09-2025,Tamil Nadu,Krishnagiri,635117,0,9
20-09-2025,Tamil Nadu,Krishnagiri,635121,1,5
20-09-2025,Tamil Nadu,Krishnagiri,635122,1,2
20-09-2025,Tamil Nadu,Krishnagiri,635206,3,8
20-09-2025,Tamil Nadu,Krishnagiri,635306,0,4
15-10-2025,Tamil Nadu,Krishnagiri,635113,2,15
15-10-2025,Tamil Nadu,Krishnagiri,635114,1,8
15-10-2025,Tamil Nadu,Krishnagiri,635119,0,2
15-10-2025,Tamil Nadu,Krishnagiri,635121,0,8
15-10-2025,Tamil Nadu,Krishnagiri,635124,0,1
10-12-2025,Tamil Nadu,Krishnagiri,635101,0,12
10-12-2025,Tamil Nadu,Krishnagiri,635103,0,15
10-12-2025,Tamil Nadu,Krishnagiri,635106,1,6
10-12-2025,Tamil Nadu,Krishnagiri,635109,13,85
10-12-2025,Tamil Nadu,Krishnagiri,635117,2,17
10-12-2025,Tamil Nadu,Krishnagiri,635122,2,17
10-12-2025,Tamil Nadu,Krishnagiri,635123,0,6
10-12-2025,Tamil Nadu,Krishnagiri,635206,0,12
11-12-2025,Tamil Nadu,Krishnagiri,635001,7,50
11-12-2025,Tamil Nadu,Krishnagiri,635002,1,13
11-12-2025,Tamil Nadu,Krishnagiri,635106,0,2
11-12-2025,Tamil Nadu,Krishnagiri,635118,1,18
11-12-2025,Tamil Nadu,Krishnagiri,635123,0,4
11-12-2025,Tamil Nadu,Krishnagiri,635124,0,2
11-12-2025,Tamil Nadu,Krishnagiri,635206,1,8
12-12-2025,Tamil Nadu,Krishnagiri,635107,4,36
12-12-2025,Tamil Nadu,Krishnagiri,635109,10,82
12-12-2025,Tamil Nadu,Krishnagiri,635113,0,15
12-12-2025,Tamil Nadu,Krishnagiri,635116,1,13
12-12-2025,Tamil Nadu,Krishnagiri,635126,0,24
12-12-2025,Tamil Nadu,Krishnagiri,635304,1,12
12-12-2025,Tamil Nadu,Krishnagiri,635306,0,6
12-12-2025,Tamil Nadu,Krishnagiri,635654,0,2
04-12-2025,Tamil Nadu,Krishnagiri,635002,1,10
04-12-2025,Tamil Nadu,Krishnagiri,635105,1,13
04-12-2025,Tamil Nadu,Krishnagiri,635116,2,18
04-12-2025,Tamil Nadu,Krishnagiri,635121,2,15
04-12-2025,Tamil Nadu,Krishnagiri,635123,2,1
04-12-2025,Tamil Nadu,Krishnagiri,635203,4,18
04-12-2025,Tamil Nadu,Krishnagiri,635306,1,13
05-12-2025,Tamil Nadu,Krishnagiri,635102,0,10
05-12-2025,Tamil Nadu,Krishnagiri,635107,5,20
05-12-2025,Tamil Nadu,Krishnagiri,635114,0,6
05-12-2025,Tamil Nadu,Krishnagiri,635116,2,16
05-12-2025,Tamil Nadu,Krishnagiri,635120,2,13
05-12-2025,Tamil Nadu,Krishnagiri,635203,2,26
05-12-2025,Tamil Nadu,Krishnagiri,635206,2,17
05-12-2025,Tamil Nadu,Krishnagiri,635306,0,9
06-12-2025,Tamil Nadu,Krishnagiri,635002,3,9
06-12-2025,Tamil Nadu,Krishnagiri,635101,0,8
06-12-2025,Tamil Nadu,Krishnagiri,635102,2,4
06-12-2025,Tamil Nadu,Krishnagiri,635109,7,47
06-12-2025,Tamil Nadu,Krishnagiri,635115,2,11
06-12-2025,Tamil Nadu,Krishnagiri,635117,5,16
06-12-2025,Tamil Nadu,Krishnagiri,635207,3,15
06-12-2025,Tamil Nadu,Krishnagiri,635307,8,24
06-12-2025,Tamil Nadu,Krishnagiri,636812,0,1
03-12-2025,Tamil Nadu,Krishnagiri,635002,2,9
03-12-2025,Tamil Nadu,Krishnagiri,635105,1,8
03-12-2025,Tamil Nadu,Krishnagiri,635122,1,10
03-12-2025,Tamil Nadu,Krishnagiri,635126,1,33
03-12-2025,Tamil Nadu,Krishnagiri,635304,3,10
07-12-2025,Tamil Nadu,Krishnagiri,635103,0,7
07-12-2025,Tamil Nadu,Krishnagiri,635106,0,2
07-12-2025,Tamil Nadu,Krishnagiri,635108,0,1
07-12-2025,Tamil Nadu,Krishnagiri,635110,0,6
07-12-2025,Tamil Nadu,Krishnagiri,635116,0,1
07-12-2025,Tamil Nadu,Krishnagiri,635117,1,2
07-12-2025,Tamil Nadu,Krishnagiri,635204,1,2
07-12-2025,Tamil Nadu,Krishnagiri,635207,0,2
04-11-2025,Tamil Nadu,Krishnagiri,635002,0,7
04-11-2025,Tamil Nadu,Krishnagiri,635104,1,13
04-11-2025,Tamil Nadu,Krishnagiri,635112,4,12
04-11-2025,Tamil Nadu,Krishnagiri,635116,2,11
04-11-2025,Tamil Nadu,Krishnagiri,635121,2,17
04-11-2025,Tamil Nadu,Krishnagiri,636806,0,8
05-11-2025,Tamil Nadu,Krishnagiri,635001,5,23
05-11-2025,Tamil Nadu,Krishnagiri,635101,1,8
05-11-2025,Tamil Nadu,Krishnagiri,635102,5,4
05-11-2025,Tamil Nadu,Krishnagiri,635104,2,11
05-11-2025,Tamil Nadu,Krishnagiri,635113,4,11
05-11-2025,Tamil Nadu,Krishnagiri,635115,0,11
05-11-2025,Tamil Nadu,Krishnagiri,635124,0,3
05-11-2025,Tamil Nadu,Krishnagiri,635206,2,12
06-11-2025,Tamil Nadu,Krishnagiri,635002,0,6
06-11-2025,Tamil Nadu,Krishnagiri,635101,0,2
06-11-2025,Tamil Nadu,Krishnagiri,635102,4,5
06-11-2025,Tamil Nadu,Krishnagiri,635108,2,9
06-11-2025,Tamil Nadu,Krishnagiri,635116,1,14
06-11-2025,Tamil Nadu,Krishnagiri,635117,5,18
06-11-2025,Tamil Nadu,Krishnagiri,635207,5,14
21-12-2025,Tamil Nadu,Krishnagiri,635108,0,2
21-12-2025,Tamil Nadu,Krishnagiri,635111,1,0
21-12-2025,Tamil Nadu,Krishnagiri,635115,1,6
21-12-2025,Tamil Nadu,Krishnagiri,635118,0,6
21-12-2025,Tamil Nadu,Krishnagiri,635121,0,5
29-12-2025,Tamil Nadu,Krishnagiri,635106,1,2
29-12-2025,Tamil Nadu,Krishnagiri,635112,4,15
29-12-2025,Tamil Nadu,Krishnagiri,635116,4,3
29-12-2025,Tamil Nadu,Krishnagiri,635118,2,2
29-12-2025,Tamil Nadu,Krishnagiri,635203,2,15
29-12-2025,Tamil Nadu,Krishnagiri,635206,2,5
29-12-2025,Tamil Nadu,Krishnagiri,635307,4,17
02-01-2026,Tamil Nadu,Krishnagiri,635105,4,9
02-01-2026,Tamil Nadu,Krishnagiri,635108,1,5
02-01-2026,Tamil Nadu,Krishnagiri,635118,0,4
02-01-2026,Tamil Nadu,Krishnagiri,635121,2,9
02-01-2026,Tamil Nadu,Krishnagiri,635204,1,7
02-01-2026,Tamil Nadu,Krishnagiri,636806,0,1
01-01-2026,Tamil Nadu,Krishnagiri,635001,13,31
01-01-2026,Tamil Nadu,Krishnagiri,635103,1,7
01-01-2026,Tamil Nadu,Krishnagiri,635109,11,53
01-01-2026,Tamil Nadu,Krishnagiri,635112,2,9
01-01-2026,Tamil Nadu,Krishnagiri,635116,1,8
01-01-2026,Tamil Nadu,Krishnagiri,635119,0,4
01-01-2026,Tamil Nadu,Krishnagiri,635124,0,3
01-01-2026,Tamil Nadu,Krishnagiri,635204,1,7
25-12-2025,Tamil Nadu,Krishnagiri,636806,0,3
28-12-2025,Tamil Nadu,Krishnagiri,635103,2,11
28-12-2025,Tamil Nadu,Krishnagiri,635115,3,11
28-12-2025,Tamil Nadu,Krishnagiri,635118,0,4
28-12-2025,Tamil Nadu,Krishnagiri,635122,0,6
28-12-2025,Tamil Nadu,Krishnagiri,635201,2,6
31-12-2025,Tamil Nadu,Krishnagiri,635002,0,5
31-12-2025,Tamil Nadu,Krishnagiri,635101,1,4
31-12-2025,Tamil Nadu,Krishnagiri,635107,0,23
31-12-2025,Tamil Nadu,Krishnagiri,635108,0,6
31-12-2025,Tamil Nadu,Krishnagiri,635111,0,1
31-12-2025,Tamil Nadu,Krishnagiri,635121,3,13
31-12-2025,Tamil Nadu,Krishnagiri,635207,2,14
03-01-2026,Tamil Nadu,Krishnagiri,635002,0,1
03-01-2026,Tamil Nadu,Krishnagiri,635103,0,4
03-01-2026,Tamil Nadu,Krishnagiri,635107,0,6
03-01-2026,Tamil Nadu,Krishnagiri,635110,0,2
03-01-2026,Tamil Nadu,Krishnagiri,635112,3,6
03-01-2026,Tamil Nadu,Krishnagiri,635116,0,2
03-01-2026,Tamil Nadu,Krishnagiri,635117,0,8
03-01-2026,Tamil Nadu,Krishnagiri,635201,0,2
03-01-2026,Tamil Nadu,Krishnagiri,635304,1,5
03-01-2026,Tamil Nadu,Krishnagiri,635307,1,2
23-12-2025,Tamil Nadu,Krishnagiri,635001,5,55
23-12-2025,Tamil Nadu,Krishnagiri,635103,2,9
23-12-2025,Tamil Nadu,Krishnagiri,635112,1,20
23-12-2025,Tamil Nadu,Krishnagiri,635116,1,13
23-12-2025,Tamil Nadu,Krishnagiri,635119,1,7
23-12-2025,Tamil Nadu,Krishnagiri,635120,1,13
23-12-2025,Tamil Nadu,Krishnagiri,635203,0,26
24-12-2025,Tamil Nadu,Krishnagiri,635002,3,1
24-12-2025,Tamil Nadu,Krishnagiri,635102,2,10
24-12-2025,Tamil Nadu,Krishnagiri,635104,3,18
24-12-2025,Tamil Nadu,Krishnagiri,635105,2,16
24-12-2025,Tamil Nadu,Krishnagiri,635117,2,20
24-12-2025,Tamil Nadu,Krishnagiri,635121,3,21
24-12-2025,Tamil Nadu,Krishnagiri,635201,1,6
25-12-2025,Tamil Nadu,Krishnagiri,635106,1,0
25-12-2025,Tamil Nadu,Krishnagiri,635119,0,1
25-12-2025,Tamil Nadu,Krishnagiri,635121,0,2
25-12-2025,Tamil Nadu,Krishnagiri,635122,0,1
25-12-2025,Tamil Nadu,Krishnagiri,635123,0,1
25-12-2025,Tamil Nadu,Krishnagiri,635126,1,11
25-12-2025,Tamil Nadu,Krishnagiri,635203,1,8
25-12-2025,Tamil Nadu,Krishnagiri,635304,0,2
25-12-2025,Tamil Nadu,Krishnagiri,635306,0,2
25-12-2025,Tamil Nadu,Krishnagiri,635307,2,4
26-12-2025,Tamil Nadu,Krishnagiri,635101,0,3
26-12-2025,Tamil Nadu,Krishnagiri,635107,4,26
26-12-2025,Tamil Nadu,Krishnagiri,635110,2,18
26-12-2025,Tamil Nadu,Krishnagiri,635120,2,6
26-12-2025,Tamil Nadu,Krishnagiri,635121,2,18
26-12-2025,Tamil Nadu,Krishnagiri,635201,1,4
26-12-2025,Tamil Nadu,Krishnagiri,635306,1,10
26-12-2025,Tamil Nadu,Krishnagiri,635307,1,21
27-12-2025,Tamil Nadu,Krishnagiri,635002,0,14
27-12-2025,Tamil Nadu,Krishnagiri,635114,0,9
27-12-2025,Tamil Nadu,Krishnagiri,635201,1,5
27-12-2025,Tamil Nadu,Krishnagiri,635204,0,7
27-12-2025,Tamil Nadu,Krishnagiri,635206,0,5
27-12-2025,Tamil Nadu,Krishnagiri,636806,1,0
15-12-2025,Tamil Nadu,Krishnagiri,636808,0,1
20-12-2025,Tamil Nadu,Krishnagiri,635124,0,1
14-12-2025,Tamil Nadu,Krishnagiri,635111,1,1
14-12-2025,Tamil Nadu,Krishnagiri,635204,1,5
14-12-2025,Tamil Nadu,Krishnagiri,635304,3,5
18-12-2025,Tamil Nadu,Krishnagiri,635001,6,40
18-12-2025,Tamil Nadu,Krishnagiri,635109,15,83
18-12-2025,Tamil Nadu,Krishnagiri,635111,1,1
18-12-2025,Tamil Nadu,Krishnagiri,635203,3,30
18-12-2025,Tamil Nadu,Krishnagiri,635304,0,11
19-12-2025,Tamil Nadu,Krishnagiri,635106,1,3
19-12-2025,Tamil Nadu,Krishnagiri,635112,8,13
19-12-2025,Tamil Nadu,Krishnagiri,635113,4,13
19-12-2025,Tamil Nadu,Krishnagiri,635120,0,10
19-12-2025,Tamil Nadu,Krishnagiri,635121,2,25
19-12-2025,Tamil Nadu,Krishnagiri,635123,2,2
19-12-2025,Tamil Nadu,Krishnagiri,635126,3,18
19-12-2025,Tamil Nadu,Krishnagiri,635201,0,3
19-12-2025,Tamil Nadu,Krishnagiri,635206,0,10
20-12-2025,Tamil Nadu,Krishnagiri,635103,0,4
20-12-2025,Tamil Nadu,Krishnagiri,635104,4,13
20-12-2025,Tamil Nadu,Krishnagiri,635106,1,0
20-12-2025,Tamil Nadu,Krishnagiri,635114,2,4
20-12-2025,Tamil Nadu,Krishnagiri,635119,0,6
20-12-2025,Tamil Nadu,Krishnagiri,635121,0,7
21-12-2025,Tamil Nadu,Krishnagiri,635101,0,2
21-12-2025,Tamil Nadu,Krishnagiri,635110,0,1
21-12-2025,Tamil Nadu,Krishnagiri,635124,2,2
21-12-2025,Tamil Nadu,Krishnagiri,635126,1,5
22-12-2025,Tamil Nadu,Krishnagiri,635102,1,9
