date,state,district,pincode,age_0_5,age_5_17,age_18_greater
06-09-2025,Tamil Nadu,Krishnagiri,635115,2,0,0
06-09-2025,Tamil Nadu,Krishnagiri,635124,1,1,0
06-09-2025,Tamil Nadu,Krishnagiri,635306,1,0,0
07-09-2025,Tamil Nadu,Krishnagiri,635121,1,0,0
07-09-2025,Tamil Nadu,Krishnagiri,635306,1,0,0
08-09-2025,Tamil Nadu,Krishnagiri,635002,1,0,0
08-09-2025,Tamil Nadu,Krishnagiri,635102,2,0,0
08-09-2025,Tamil Nadu,Krishnagiri,635113,0,1,0
08-09-2025,Tamil Nadu,Krishnagiri,635114,0,1,0
08-09-2025,Tamil Nadu,Krishnagiri,635116,2,1,0
08-09-2025,Tamil Nadu,Krishnagiri,635120,3,0,0
08-09-2025,Tamil Nadu,Krishnagiri,635121,3,0,0
09-09-2025,Tamil Nadu,Krishnagiri,635118,1,0,0
09-09-2025,Tamil Nadu,Krishnagiri,635306,3,0,0
10-09-2025,Tamil Nadu,Krishnagiri,635001,4,0,0
10-09-2025,Tamil Nadu,Krishnagiri,635102,1,0,0
10-09-2025,Tamil Nadu,Krishnagiri,635105,1,0,0
10-09-2025,Tamil Nadu,Krishnagiri,635120,2,0,0
10-09-2025,Tamil Nadu,Krishnagiri,635126,5,1,0
10-09-2025,Tamil Nadu,Krishnagiri,635201,2,0,0
11-09-2025,Tamil Nadu,Krishnagiri,635101,2,0,0
11-09-2025,Tamil Nadu,Krishnagiri,635104,3,0,0
11-09-2025,Tamil Nadu,Krishnagiri,635117,4,1,0
11-09-2025,Tamil Nadu,Krishnagiri,636902,1,0,0
12-09-2025,Tamil Nadu,Krishnagiri,635101,1,0,0
12-09-2025,Tamil Nadu,Krishnagiri,635109,6,1,0
12-09-2025,Tamil Nadu,Krishnagiri,635113,2,1,0
12-09-2025,Tamil Nadu,Krishnagiri,635201,3,0,0
12-09-2025,Tamil Nadu,Krishnagiri,635206,5,1,0
12-09-2025,Tamil Nadu,Krishnagiri,635307,8,1,0
13-09-2025,Tamil Nadu,Krishnagiri,635110,0,1,0
13-09-2025,Tamil Nadu,Krishnagiri,635116,1,1,0
13-09-2025,Tamil Nadu,Krishnagiri,635124,1,0,0
13-09-2025,Tamil Nadu,Krishnagiri,635201,2,0,0
13-09-2025,Tamil Nadu,Krishnagiri,635203,1,0,0
16-09-2025,Tamil Nadu,Krishnagiri,635107,1,0,0
16-09-2025,Tamil Nadu,Krishnagiri,635207,1,0,0
16-09-2025,Tamil Nadu,Krishnagiri,635307,6,1,0
15-09-2025,Tamil Nadu,Krishnagiri,635107,1,0,0
15-09-2025,Tamil Nadu,Krishnagiri,635110,2,0,0
15-09-2025,Tamil Nadu,Krishnagiri,635113,3,1,0
15-09-2025,Tamil Nadu,Krishnagiri,635116,3,0,0
15-09-2025,Tamil Nadu,Krishnagiri,635118,0,1,0
15-09-2025,Tamil Nadu,Krishnagiri,635120,2,0,0
15-09-2025,Tamil Nadu,Krishnagiri,635306,8,0,0
15-09-2025,Tamil Nadu,Krishnagiri,635307,3,1,0
17-09-2025,Tamil Nadu,Krishnagiri,635104,4,0,0
17-09-2025,Tamil Nadu,Krishnagiri,635113,3,1,0
17-09-2025,Tamil Nadu,Krishnagiri,635304,5,0,0
17-09-2025,Tamil Nadu,Krishnagiri,635306,2,0,0
18-09-2025,Tamil Nadu,Krishnagiri,635101,0,1,0
18-09-2025,Tamil Nadu,Krishnagiri,635105,1,1,0
18-09-2025,Tamil Nadu,Krishnagiri,635107,4,1,0
18-09-2025,Tamil Nadu,Krishnagiri,635113,2,0,0
18-09-2025,Tamil Nadu,Krishnagiri,635117,4,1,0
18-09-2025,Tamil Nadu,Krishnagiri,635118,5,0,0
18-09-2025,Tamil Nadu,Krishnagiri,635120,0,1,0
18-09-2025,Tamil Nadu,Krishnagiri,635121,4,0,0
18-09-2025,Tamil Nadu,Krishnagiri,635123,1,0,0
18-09-2025,Tamil Nadu,Krishnagiri,635207,5,0,0
19-09-2025,Tamil Nadu,Krishnagiri,635107,5,1,0
19-09-2025,Tamil Nadu,Krishnagiri,635116,5,0,0
19-09-2025,Tamil Nadu,Krishnagiri,635123,1,0,0
19-09-2025,Tamil Nadu,Krishnagiri,635126,1,0,0
19-09-2025,Tamil Nadu,Krishnagiri,635206,1,1,0
19-09-2025,Tamil Nadu,Krishnagiri,635306,2,1,0
20-09-2025,Tamil Nadu,Krishnagiri,635107,4,2,0
20-09-2025,Tamil Nadu,Krishnagiri,635126,4,0,0
20-09-2025,Tamil Nadu,Krishnagiri,635201,1,0,0
20-09-2025,Tamil Nadu,Krishnagiri,636806,1,0,0
22-09-2025,Tamil Nadu,Krishnagiri,635001,6,2,0
22-09-2025,Tamil Nadu,Krishnagiri,635102,4,1,0
22-09-2025,Tamil Nadu,Krishnagiri,635104,6,0,0
22-09-2025,Tamil Nadu,Krishnagiri,635114,2,0,0
22-09-2025,Tamil Nadu,Krishnagiri,635118,1,0,0
22-09-2025,Tamil Nadu,Krishnagiri,635123,2,0,0
22-09-2025,Tamil Nadu,Krishnagiri,635201,3,0,0
25-09-2025,Tamil Nadu,Krishnagiri,635109,2,0,0
25-09-2025,Tamil Nadu,Krishnagiri,635112,3,0,0
25-09-2025,Tamil Nadu,Krishnagiri,635118,1,0,0
25-09-2025,Tamil Nadu,Krishnagiri,635121,2,0,0
25-09-2025,Tamil Nadu,Krishnagiri,635204,3,1,0
25-09-2025,Tamil Nadu,Krishnagiri,635306,1,0,0
23-09-2025,Tamil Nadu,Krishnagiri,635101,1,0,0
23-09-2025,Tamil Nadu,Krishnagiri,635102,4,1,0
23-09-2025,Tamil Nadu,Krishnagiri,635106,1,0,0
23-09-2025,Tamil Nadu,Krishnagiri,635107,5,0,0
23-09-2025,Tamil Nadu,Krishnagiri,635109,3,0,0
23-09-2025,Tamil Nadu,Krishnagiri,635110,3,0,0
23-09-2025,Tamil Nadu,Krishnagiri,635112,1,0,0
23-09-2025,Tamil Nadu,Krishnagiri,635118,1,0,0
23-09-2025,Tamil Nadu,Krishnagiri,635120,1,0,0
23-09-2025,Tamil Nadu,Krishnagiri,635122,2,1,0
23-09-2025,Tamil Nadu,Krishnagiri,635201,2,0,0
23-09-2025,Tamil Nadu,Krishnagiri,636902,0,1,0
24-09-2025,Tamil Nadu,Krishnagiri,635001,8,1,0
24-09-2025,Tamil Nadu,Krishnagiri,635114,1,0,0
24-09-2025,Tamil Nadu,Krishnagiri,635118,2,1,0
24-09-2025,Tamil Nadu,Krishnagiri,635120,1,0,0
24-09-2025,Tamil Nadu,Krishnagiri,635123,2,0,0
24-09-2025,Tamil Nadu,Krishnagiri,635204,1,0,0
24-09-2025,Tamil Nadu,Krishnagiri,635306,1,0,0
27-09-2025,Tamil Nadu,Krishnagiri,635103,0,1,0
27-09-2025,Tamil Nadu,Krishnagiri,635115,1,0,0
26-09-2025,Tamil Nadu,Krishnagiri,635002,3,0,0
26-09-2025,Tamil Nadu,Krishnagiri,635109,3,1,0
26-09-2025,Tamil Nadu,Krishnagiri,635306,1,0,0
26-09-2025,Tamil Nadu,Krishnagiri,636806,1,1,0
26-09-2025,Tamil Nadu,Krishnagiri,636812,1,0,0
29-09-2025,Tamil Nadu,Krishnagiri,635001,1,0,0
29-09-2025,Tamil Nadu,Krishnagiri,635103,1,0,0
29-09-2025,Tamil Nadu,Krishnagiri,635116,1,0,0
29-09-2025,Tamil Nadu,Krishnagiri,635207,1,0,0
29-09-2025,Tamil Nadu,Krishnagiri,635304,1,0,0
29-09-2025,Tamil Nadu,Krishnagiri,635306,0,1,0
30-09-2025,Tamil Nadu,Krishnagiri,635109,1,0,0
26-10-2025,Tamil Nadu,Krishnagiri,635101,1,0,0
26-10-2025,Tamil Nadu,Krishnagiri,635103,1,0,0
26-10-2025,Tamil Nadu,Krishnagiri,635109,1,2,0
26-10-2025,Tamil Nadu,Krishnagiri,635113,1,0,0
26-10-2025,Tamil Nadu,Krishnagiri,635116,1,0,0
26-10-2025,Tamil Nadu,Krishnagiri,635117,4,1,0
26-10-2025,Tamil Nadu,Krishnagiri,635120,1,0,0
26-10-2025,Tamil Nadu,Krishnagiri,635121,1,0,0
26-10-2025,Tamil Nadu,Krishnagiri,635206,1,0,0
26-10-2025,Tamil Nadu,Krishnagiri,635304,1,0,0
13-10-2025,Tamil Nadu,Krishnagiri,635101,1,0,0
13-10-2025,Tamil Nadu,Krishnagiri,635102,1,0,0
13-10-2025,Tamil Nadu,Krishnagiri,635108,3,0,0
13-10-2025,Tamil Nadu,Krishnagiri,635109,7,2,0
13-10-2025,Tamil Nadu,Krishnagiri,635112,3,1,0
13-10-2025,Tamil Nadu,Krishnagiri,635126,2,1,0
13-10-2025,Tamil Nadu,Krishnagiri,635207,3,1,0
13-10-2025,Tamil Nadu,Krishnagiri,635306,1,1,0
13-10-2025,Tamil Nadu,Krishnagiri,635307,4,0,0
15-10-2025,Tamil Nadu,Krishnagiri,635103,2,0,0
15-10-2025,Tamil Nadu,Krishnagiri,635109,5,1,0
15-10-2025,Tamil Nadu,Krishnagiri,635120,1,0,0
15-10-2025,Tamil Nadu,Krishnagiri,635122,2,0,0
15-10-2025,Tamil Nadu,Krishnagiri,635123,1,0,0
15-10-2025,Tamil Nadu,Krishnagiri,635203,1,0,0
15-10-2025,Tamil Nadu,Krishnagiri,635307,5,0,0
16-10-2025,Tamil Nadu,Krishnagiri,635103,1,0,0
16-10-2025,Tamil Nadu,Krishnagiri,635109,3,1,0
16-10-2025,Tamil Nadu,Krishnagiri,635115,1,0,0
16-10-2025,Tamil Nadu,Krishnagiri,635116,2,0,0
17-10-2025,Tamil Nadu,Krishnagiri,635110,2,0,0
17-10-2025,Tamil Nadu,Krishnagiri,635119,1,0,0
17-10-2025,Tamil Nadu,Krishnagiri,635201,1,0,0
20-10-2025,Tamil Nadu,Krishnagiri,635206,5,0,0
18-10-2025,Tamil Nadu,Krishnagiri,635117,2,1,0
18-10-2025,Tamil Nadu,Krishnagiri,635120,0,1,0
18-10-2025,Tamil Nadu,Krishnagiri,635121,1,0,0
18-10-2025,Tamil Nadu,Krishnagiri,635122,2,0,0
19-10-2025,Tamil Nadu,Krishnagiri,635104,1,0,0
19-10-2025,Tamil Nadu,Krishnagiri,635203,1,0,0
19-10-2025,Tamil Nadu,Krishnagiri,635207,1,0,0
19-10-2025,Tamil Nadu,Krishnagiri,635306,2,0,0
21-10-2025,Tamil Nadu,Krishnagiri,635104,1,0,0
21-10-2025,Tamil Nadu,Krishnagiri,635110,1,0,0
24-10-2025,Tamil Nadu,Krishnagiri,635103,1,0,0
24-10-2025,Tamil Nadu,Krishnagiri,635116,1,0,0
24-10-2025,Tamil Nadu,Krishnagiri,635120,1,0,0
24-10-2025,Tamil Nadu,Krishnagiri,635307,1,0,0
23-10-2025,Tamil Nadu,Krishnagiri,635113,1,0,0
25-10-2025,Tamil Nadu,Krishnagiri,635102,0,3,0
25-10-2025,Tamil Nadu,Krishnagiri,635112,2,1,0
25-10-2025,Tamil Nadu,Krishnagiri,635206,1,0,0
25-10-2025,Tamil Nadu,Krishnagiri,635307,4,0,0
27-10-2025,Tamil Nadu,Krishnagiri,635102,1,0,0
27-10-2025,Tamil Nadu,Krishnagiri,635112,2,0,0
27-10-2025,Tamil Nadu,Krishnagiri,635116,1,0,0
27-10-2025,Tamil Nadu,Krishnagiri,635117,1,1,0
27-10-2025,Tamil Nadu,Krishnagiri,635121,1,2,0
27-10-2025,Tamil Nadu,Krishnagiri,635204,1,0,0
27-10-2025,Tamil Nadu,Krishnagiri,635304,1,0,0
28-10-2025,Tamil Nadu,Krishnagiri,635115,3,0,0
28-10-2025,Tamil Nadu,Krishnagiri,635119,1,0,0
29-10-2025,Tamil Nadu,Krishnagiri,635102,0,1,0
29-10-2025,Tamil Nadu,Krishnagiri,635121,2,0,0
29-10-2025,Tamil Nadu,Krishnagiri,635126,2,0,0
29-10-2025,Tamil Nadu,Krishnagiri,635206,1,0,0
30-10-2025,Tamil Nadu,Krishnagiri,635103,2,0,0
30-10-2025,Tamil Nadu,Krishnagiri,635110,3,0,0
30-10-2025,Tamil Nadu,Krishnagiri,635117,7,3,0
30-10-2025,Tamil Nadu,Krishnagiri,635118,1,2,0
30-10-2025,Tamil Nadu,Krishnagiri,635120,2,0,0
30-10-2025,Tamil Nadu,Krishnagiri,635121,1,1,0
30-10-2025,Tamil Nadu,Krishnagiri,635122,2,0,0
30-10-2025,Tamil Nadu,Krishnagiri,635126,2,0,0
30-10-2025,Tamil Nadu,Krishnagiri,635203,7,1,0
30-10-2025,Tamil Nadu,Krishnagiri,635206,3,0,0
31-10-2025,Tamil Nadu,Krishnagiri,635101,1,0,0
31-10-2025,Tamil Nadu,Krishnagiri,635102,1,0,0
31-10-2025,Tamil Nadu,Krishnagiri,635110,3,0,0
31-10-2025,Tamil Nadu,Krishnagiri,635120,1,0,0
31-10-2025,Tamil Nadu,Krishnagiri,635201,2,0,0
31-10-2025,Tamil Nadu,Krishnagiri,636902,3,1,0
01-11-2025,Tamil Nadu,Krishnagiri,635118,1,2,0
01-11-2025,Tamil Nadu,Krishnagiri,635121,1,0,0
01-11-2025,Tamil Nadu,Krishnagiri,635122,1,0,0
01-11-2025,Tamil Nadu,Krishnagiri,635123,2,0,0
01-11-2025,Tamil Nadu,Krishnagiri,635306,3,0,0
02-11-2025,Tamil Nadu,Krishnagiri,635103,1,0,0
02-11-2025,Tamil Nadu,Krishnagiri,635115,1,0,0
02-11-2025,Tamil Nadu,Krishnagiri,635117,4,2,0
02-11-2025,Tamil Nadu,Krishnagiri,635121,2,1,0
02-11-2025,Tamil Nadu,Krishnagiri,635123,1,0,0
02-11-2025,Tamil Nadu,Krishnagiri,635306,3,1,0
11-11-2025,Tamil Nadu,Krishnagiri,635002,2,0,0
11-11-2025,Tamil Nadu,Krishnagiri,635109,0,1,0
12-11-2025,Tamil Nadu,Krishnagiri,635104,2,0,0
12-11-2025,Tamil Nadu,Krishnagiri,635105,1,0,0
12-11-2025,Tamil Nadu,Krishnagiri,635108,2,0,0
12-11-2025,Tamil Nadu,Krishnagiri,635122,2,0,0
12-11-2025,Tamil Nadu,Krishnagiri,635201,2,2,0
16-11-2025,Tamil Nadu,Krishnagiri,635102,3,2,0
16-11-2025,Tamil Nadu,Krishnagiri,635106,1,0,0
16-11-2025,Tamil Nadu,Krishnagiri,635116,1,1,0
16-11-2025,Tamil Nadu,Krishnagiri,635121,2,1,0
16-11-2025,Tamil Nadu,Krishnagiri,635126,3,1,0
16-11-2025,Tamil Nadu,Krishnagiri,635306,2,0,0
16-11-2025,Tamil Nadu,Krishnagiri,635307,2,2,0
15-11-2025,Tamil Nadu,Krishnagiri,635001,8,2,0
15-11-2025,Tamil Nadu,Krishnagiri,635104,0,1,0
15-11-2025,Tamil Nadu,Krishnagiri,635105,2,0,0
15-11-2025,Tamil Nadu,Krishnagiri,635110,0,1,0
15-11-2025,Tamil Nadu,Krishnagiri,635203,3,1,0
15-11-2025,Tamil Nadu,Krishnagiri,635204,4,1,0
15-11-2025,Tamil Nadu,Krishnagiri,635306,3,0,0
05-11-2025,Tamil Nadu,Krishnagiri,635109,6,3,0
05-11-2025,Tamil Nadu,Krishnagiri,635114,1,0,0
05-11-2025,Tamil Nadu,Krishnagiri,635117,1,0,0
05-11-2025,Tamil Nadu,Krishnagiri,635120,2,0,0
05-11-2025,Tamil Nadu,Krishnagiri,635126,8,0,0
03-11-2025,Tamil Nadu,Krishnagiri,635118,2,3,0
03-11-2025,Tamil Nadu,Krishnagiri,635207,5,3,0
07-11-2025,Tamil Nadu,Krishnagiri,635001,1,2,0
07-11-2025,Tamil Nadu,Krishnagiri,635104,1,0,0
07-11-2025,Tamil Nadu,Krishnagiri,635109,6,3,0
07-11-2025,Tamil Nadu,Krishnagiri,635112,2,0,0
07-11-2025,Tamil Nadu,Krishnagiri,635119,1,0,0
07-11-2025,Tamil Nadu,Krishnagiri,636902,0,1,0
06-11-2025,Tamil Nadu,Krishnagiri,635001,0,1,0
06-11-2025,Tamil Nadu,Krishnagiri,635107,7,1,0
06-11-2025,Tamil Nadu,Krishnagiri,635109,1,3,0
06-11-2025,Tamil Nadu,Krishnagiri,635110,2,0,0
06-11-2025,Tamil Nadu,Krishnagiri,635121,2,1,0
06-11-2025,Tamil Nadu,Krishnagiri,635304,3,0,0
06-11-2025,Tamil Nadu,Krishnagiri,635307,0,1,0
08-11-2025,Tamil Nadu,Krishnagiri,635001,2,0,0
08-11-2025,Tamil Nadu,Krishnagiri,635104,1,0,0
08-11-2025,Tamil Nadu,Krishnagiri,635115,2,0,0
08-11-2025,Tamil Nadu,Krishnagiri,635122,2,0,0
08-11-2025,Tamil Nadu,Krishnagiri,635126,1,1,0
08-11-2025,Tamil Nadu,Krishnagiri,635206,3,0,0
09-11-2025,Tamil Nadu,Krishnagiri,635107,1,1,0
09-11-2025,Tamil Nadu,Krishnagiri,635306,2,0,0
10-11-2025,Tamil Nadu,Krishnagiri,635101,1,0,0
10-11-2025,Tamil Nadu,Krishnagiri,635104,1,0,0
10-11-2025,Tamil Nadu,Krishnagiri,635109,3,0,0
10-11-2025,Tamil Nadu,Krishnagiri,635112,1,0,0
10-11-2025,Tamil Nadu,Krishnagiri,635115,1,1,0
10-11-2025,Tamil Nadu,Krishnagiri,635122,0,1,0
10-11-2025,Tamil Nadu,Krishnagiri,635123,1,0,0
10-11-2025,Tamil Nadu,Krishnagiri,635126,2,0,0
10-11-2025,Tamil Nadu,Krishnagiri,635203,1,0,0
10-11-2025,Tamil Nadu,Krishnagiri,635206,1,0,0
13-11-2025,Tamil Nadu,Krishnagiri,635001,4,2,0
13-11-2025,Tamil Nadu,Krishnagiri,635116,1,0,0
13-11-2025,Tamil Nadu,Krishnagiri,635304,1,1,0
14-11-2025,Tamil Nadu,Krishnagiri,635102,2,1,0
14-11-2025,Tamil Nadu,Krishnagiri,635108,1,0,0
14-11-2025,Tamil Nadu,Krishnagiri,635112,2,1,0
14-11-2025,Tamil Nadu,Krishnagiri,635114,2,1,0
14-11-2025,Tamil Nadu,Krishnagiri,635115,1,0,0
14-11-2025,Tamil Nadu,Krishnagiri,635116,3,1,0
14-11-2025,Tamil Nadu,Krishnagiri,635206,4,0,0
14-11-2025,Tamil Nadu,Krishnagiri,635304,0,1,0
17-11-2025,Tamil Nadu,Krishnagiri,635001,0,1,0
17-11-2025,Tamil Nadu,Krishnagiri,635108,1,0,0
17-11-2025,Tamil Nadu,Krishnagiri,635110,1,0,0
17-11-2025,Tamil Nadu,Krishnagiri,635116,1,0,0
17-11-2025,Tamil Nadu,Krishnagiri,635121,2,1,0
18-11-2025,Tamil Nadu,Krishnagiri,635104,2,1,0
18-11-2025,Tamil Nadu,Krishnagiri,635109,8,4,0
18-11-2025,Tamil Nadu,Krishnagiri,635119,0,1,0
18-11-2025,Tamil Nadu,Krishnagiri,635126,4,1,0
18-11-2025,Tamil Nadu,Krishnagiri,635204,1,0,0
19-11-2025,Tamil Nadu,Krishnagiri,635001,8,1,0
19-11-2025,Tamil Nadu,Krishnagiri,635103,1,0,0
19-11-2025,Tamil Nadu,Krishnagiri,635105,2,2,0
19-11-2025,Tamil Nadu,Krishnagiri,635109,9,2,0
19-11-2025,Tamil Nadu,Krishnagiri,635116,2,1,0
19-11-2025,Tamil Nadu,Krishnagiri,635203,4,2,0
19-11-2025,Tamil Nadu,Krishnagiri,635206,3,0,0
19-11-2025,Tamil Nadu,Krishnagiri,635207,3,0,0
19-11-2025,Tamil Nadu,Krishnagiri,635307,4,1,0
19-11-2025,Tamil Nadu,Krishnagiri,636902,2,0,0
25-11-2025,Tamil Nadu,Krishnagiri,635118,2,2,0
25-11-2025,Tamil Nadu,Krishnagiri,635124,1,0,0
25-11-2025,Tamil Nadu,Krishnagiri,635306,3,0,0
15-12-2025,Tamil Nadu,Krishnagiri,635002,1,0,0
15-12-2025,Tamil Nadu,Krishnagiri,635102,3,0,0
15-12-2025,Tamil Nadu,Krishnagiri,635105,5,1,0
15-12-2025,Tamil Nadu,Krishnagiri,635110,1,1,0
15-12-2025,Tamil Nadu,Krishnagiri,635113,11,4,0
15-12-2025,Tamil Nadu,Krishnagiri,635122,3,0,0
15-12-2025,Tamil Nadu,Krishnagiri,635203,8,1,0
15-12-2025,Tamil Nadu,Krishnagiri,635307,17,5,0
21-12-2025,Tamil Nadu,Krishnagiri,635120,3,0,0
21-12-2025,Tamil Nadu,Krishnagiri,635122,1,0,0
21-12-2025,Tamil Nadu,Krishnagiri,635201,1,0,0
21-12-2025,Tamil Nadu,Krishnagiri,636806,1,0,0
22-12-2025,Tamil Nadu,Krishnagiri,635001,8,0,0
22-12-2025,Tamil Nadu,Krishnagiri,635002,2,0,0
22-12-2025,Tamil Nadu,Krishnagiri,635107,14,0,0
22-12-2025,Tamil Nadu,Krishnagiri,635115,5,0,0
22-12-2025,Tamil Nadu,Krishnagiri,635118,6,0,0
22-12-2025,Tamil Nadu,Krishnagiri,635121,9,0,0
22-12-2025,Tamil Nadu,Krishnagiri,635122,8,0,0
22-12-2025,Tamil Nadu,Krishnagiri,635306,2,1,0
23-12-2025,Tamil Nadu,Krishnagiri,635105,1,0,0
23-12-2025,Tamil Nadu,Krishnagiri,635109,10,0,0
23-12-2025,Tamil Nadu,Krishnagiri,635114,2,0,0
23-12-2025,Tamil Nadu,Krishnagiri,635206,1,0,0
24-12-2025,Tamil Nadu,Krishnagiri,635107,3,1,0
24-12-2025,Tamil Nadu,Krishnagiri,635113,3,0,0
24-12-2025,Tamil Nadu,Krishnagiri,635115,2,0,1
24-12-2025,Tamil Nadu,Krishnagiri,635119,1,0,0
24-12-2025,Tamil Nadu,Krishnagiri,635122,2,0,0
24-12-2025,Tamil Nadu,Krishnagiri,635306,1,0,0
25-12-2025,Tamil Nadu,Krishnagiri,635101,2,0,0
25-12-2025,Tamil Nadu,Krishnagiri,635103,0,1,0
25-12-2025,Tamil Nadu,Krishnagiri,635104,1,0,0
25-12-2025,Tamil Nadu,Krishnagiri,635105,1,0,0
25-12-2025,Tamil Nadu,Krishnagiri,635109,3,1,0
25-12-2025,Tamil Nadu,Krishnagiri,635113,1,0,0
26-12-2025,Tamil Nadu,Krishnagiri,635102,1,0,0
26-12-2025,Tamil Nadu,Krishnagiri,635115,1,0,0
26-12-2025,Tamil Nadu,Krishnagiri,635204,1,0,0
26-12-2025,Tamil Nadu,Krishnagiri,635304,0,1,0
27-12-2025,Tamil Nadu,Krishnagiri,635101,3,0,0
27-12-2025,Tamil Nadu,Krishnagiri,635104,4,0,0
27-12-2025,Tamil Nadu,Krishnagiri,635113,2,0,0
29-12-2025,Tamil Nadu,Krishnagiri,635103,1,0,0
29-12-2025,Tamil Nadu,Krishnagiri,635107,3,0,0
29-12-2025,Tamil Nadu,Krishnagiri,635109,2,2,0
28-12-2025,Tamil Nadu,Krishnagiri,635113,2,1,0
28-12-2025,Tamil Nadu,Krishnagiri,635114,1,0,0
28-12-2025,Tamil Nadu,Krishnagiri,635119,0,1,0
28-12-2025,Tamil Nadu,Krishnagiri,635120,4,0,0
28-12-2025,Tamil Nadu,Krishnagiri,635121,3,0,0
28-12-2025,Tamil Nadu,Krishnagiri,635204,1,1,0
28-12-2025,Tamil Nadu,Krishnagiri,635207,2,0,0
28-12-2025,Tamil Nadu,Krishnagiri,635306,2,0,0
01-01-2026,Tamil Nadu,Krishnagiri,635101,2,2,0
01-01-2026,Tamil Nadu,Krishnagiri,635104,6,1,0
01-01-2026,Tamil Nadu,Krishnagiri,635105,3,4,0
01-01-2026,Tamil Nadu,Krishnagiri,635106,2,2,0
01-01-2026,Tamil Nadu,Krishnagiri,635115,6,1,0
01-01-2026,Tamil Nadu,Krishnagiri,635117,3,3,0
01-01-2026,Tamil Nadu,Krishnagiri,635121,5,1,0
01-01-2026,Tamil Nadu,Krishnagiri,635201,6,0,0
01-01-2026,Tamil Nadu,Krishnagiri,635307,6,1,0
01-01-2026,Tamil Nadu,Krishnagiri,636902,1,0,0
31-12-2025,Tamil Nadu,Krishnagiri,635110,3,2,0
02-01-2026,Tamil Nadu,Krishnagiri,635001,3,1,0
02-01-2026,Tamil Nadu,Krishnagiri,635104,6,0,0
02-01-2026,Tamil Nadu,Krishnagiri,635110,0,1,0
02-01-2026,Tamil Nadu,Krishnagiri,635117,4,0,0
02-01-2026,Tamil Nadu,Krishnagiri,635203,3,0,0
02-01-2026,Tamil Nadu,Krishnagiri,635206,5,1,0
02-01-2026,Tamil Nadu,Krishnagiri,635306,3,0,0
03-01-2026,Tamil Nadu,Krishnagiri,635115,1,1,0
03-01-2026,Tamil Nadu,Krishnagiri,635121,0,1,0
09-06-2025,Tamil Nadu,Krishnagiri,635001,4,2,0
09-06-2025,Tamil Nadu,Krishnagiri,635104,4,0,0
09-06-2025,Tamil Nadu,Krishnagiri,635112,1,1,0
09-06-2025,Tamil Nadu,Krishnagiri,635114,3,1,0
09-06-2025,Tamil Nadu,Krishnagiri,635118,2,1,0
09-06-2025,Tamil Nadu,Krishnagiri,635119,2,2,0
10-06-2025,Tamil Nadu,Krishnagiri,635119,1,2,0
10-06-2025,Tamil Nadu,Krishnagiri,635123,1,0,0
10-06-2025,Tamil Nadu,Krishnagiri,635126,5,2,0
11-06-2025,Tamil Nadu,Krishnagiri,635105,0,1,0
11-06-2025,Tamil Nadu,Krishnagiri,635109,12,8,0
11-06-2025,Tamil Nadu,Krishnagiri,635110,4,2,0
11-06-2025,Tamil Nadu,Krishnagiri,635113,4,1,0
11-06-2025,Tamil Nadu,Krishnagiri,635123,2,0,0
11-06-2025,Tamil Nadu,Krishnagiri,635201,3,0,0
11-06-2025,Tamil Nadu,Krishnagiri,635204,2,1,0
